Date,France_10y,Germany_10y,Belgium_10y,Italy_10y,Spain_10y,Portugal_10y,Ireland_10y,Greece_10y
2016-12-01,0.798,0.31,0.68,1.98891,1.565,3.749,0.939,6.543
2016-12-02,0.774,0.33,0.7,1.98683,1.534,3.693,0.816,6.521
2016-12-02,0.774,0.33,0.75,1.98683,1.534,3.693,0.816,6.521
2016-12-02,0.774,0.33,0.67,1.98683,1.534,3.693,0.816,6.521
2016-12-03,0.774,0.33,0.67,1.97227,1.534,3.693,0.816,6.521
2016-12-04,0.774,0.33,0.67,1.97227,1.534,3.693,0.816,6.521
2016-12-05,0.774,0.31,0.69,1.97227,1.585,3.71,0.86,6.587
2016-12-05,0.774,0.31,0.74,1.97227,1.585,3.71,0.86,6.587
2016-12-05,0.774,0.31,0.66,1.97227,1.585,3.71,0.86,6.587
2016-12-06,0.747,0.34,0.69,1.94743,1.535,3.64,0.868,6.708
2016-12-06,0.747,0.34,0.72,1.94743,1.535,3.64,0.868,6.708
2016-12-06,0.747,0.34,0.64,1.94743,1.535,3.64,0.868,6.708
2016-12-07,0.767,0.35,0.65,1.88673,1.442,3.516,0.838,6.715
2016-12-07,0.767,0.35,0.7,1.88673,1.442,3.516,0.838,6.715
2016-12-07,0.767,0.35,0.73,1.88673,1.442,3.516,0.838,6.715
2016-12-08,0.779,0.37,0.71,1.96173,1.547,3.745,0.905,6.663
2016-12-08,0.779,0.37,0.75,1.96173,1.547,3.745,0.905,6.663
2016-12-08,0.779,0.37,0.65,1.96173,1.547,3.745,0.905,6.663
2016-12-09,0.831,0.38,0.73,2.03839,1.506,3.832,0.972,6.686
2016-12-09,0.831,0.38,0.76,2.03839,1.506,3.832,0.972,6.686
2016-12-09,0.831,0.38,0.72,2.03839,1.506,3.832,0.972,6.686
2016-12-10,0.87,0.38,0.72,2.00589,1.506,3.832,0.972,6.686
2016-12-11,0.87,0.38,0.72,2.00589,1.506,3.832,0.972,6.686
2016-12-12,0.87,0.4,0.79,2.00589,1.513,3.82,0.989,6.73
2016-12-12,0.87,0.4,0.82,2.00589,1.513,3.82,0.989,6.73
2016-12-12,0.87,0.4,0.74,2.00589,1.513,3.82,0.989,6.73
2016-12-13,0.813,0.37,0.71,1.9148,1.454,3.753,0.924,6.766
2016-12-13,0.813,0.37,0.73,1.9148,1.454,3.753,0.924,6.766
2016-12-13,0.813,0.37,0.68,1.9148,1.454,3.753,0.924,6.766
2016-12-14,0.766,0.33,0.67,1.81947,1.378,3.754,0.865,7.078
2016-12-14,0.766,0.33,0.7,1.81947,1.378,3.754,0.865,7.078
2016-12-14,0.766,0.33,0.63,1.81947,1.378,3.754,0.865,7.078
2016-12-15,0.801,0.35,0.7,1.84557,1.446,3.765,0.896,7.385
2016-12-15,0.801,0.35,0.73,1.84557,1.446,3.765,0.896,7.385
2016-12-15,0.801,0.35,0.67,1.84557,1.446,3.765,0.896,7.385
2016-12-16,0.748,0.31,0.63,1.81901,1.436,3.804,0.864,7.288
2016-12-16,0.748,0.31,0.65,1.81901,1.436,3.804,0.864,7.288
2016-12-16,0.748,0.31,0.59,1.81901,1.436,3.804,0.864,7.288
2016-12-17,0.779,0.31,0.59,1.84112,1.436,3.804,0.864,7.288
2016-12-18,0.779,0.31,0.59,1.84112,1.436,3.804,0.864,7.288
2016-12-19,0.779,0.31,0.62,1.84112,1.38,3.753,0.801,7.241
2016-12-19,0.779,0.31,0.62,1.84112,1.38,3.753,0.801,7.241
2016-12-19,0.779,0.31,0.66,1.84112,1.38,3.753,0.801,7.241
2016-12-20,0.727,0.27,0.6,1.87776,1.352,3.727,0.815,7.24
2016-12-20,0.727,0.27,0.64,1.87776,1.352,3.727,0.815,7.24
2016-12-20,0.727,0.27,0.56,1.87776,1.352,3.727,0.815,7.24
2016-12-21,0.688,0.24,0.62,1.80986,1.323,3.757,0.789,7.243
2016-12-21,0.688,0.24,0.63,1.80986,1.323,3.757,0.789,7.243
2016-12-21,0.688,0.24,0.54,1.80986,1.323,3.757,0.789,7.243
2016-12-22,0.712,0.25,0.65,1.82691,1.388,3.782,0.831,7.23
2016-12-22,0.712,0.25,0.66,1.82691,1.388,3.782,0.831,7.23
2016-12-22,0.712,0.25,0.56,1.82691,1.388,3.782,0.831,7.23
2016-12-23,0.712,0.25,0.61,1.81286,1.37,3.726,0.8,7.187
2016-12-23,0.712,0.25,0.62,1.81286,1.37,3.726,0.8,7.187
2016-12-23,0.712,0.25,0.57,1.81286,1.37,3.726,0.8,7.187
2016-12-24,0.707,0.25,0.57,1.83711,1.37,3.726,0.8,7.187
2016-12-25,0.707,0.25,0.57,1.83711,1.37,3.726,0.8,7.187
2016-12-26,0.707,0.25,0.57,1.83711,1.37,3.726,0.8,7.209
2016-12-27,0.707,0.21,0.59,1.83711,1.384,3.758,0.759,7.247
2016-12-27,0.707,0.21,0.61,1.83711,1.384,3.758,0.759,7.247
2016-12-27,0.707,0.21,0.56,1.83711,1.384,3.758,0.759,7.247
2016-12-28,0.707,0.19,0.46,1.81589,1.355,3.752,0.771,7.144
2016-12-28,0.707,0.19,0.59,1.81589,1.355,3.752,0.771,7.144
2016-12-28,0.707,0.19,0.51,1.81589,1.355,3.752,0.771,7.144
2016-12-29,0.648,0.17,0.49,1.80058,1.33,3.763,0.736,7.144
2016-12-29,0.648,0.17,0.57,1.80058,1.33,3.763,0.736,7.144
2016-12-29,0.648,0.17,0.58,1.80058,1.33,3.763,0.736,7.144
2016-12-30,0.683,0.19,0.62,1.80072,1.347,3.76,0.766,7.133
2016-12-30,0.683,0.19,0.63,1.80072,1.347,3.76,0.766,7.133
2016-12-30,0.683,0.19,0.52,1.80072,1.347,3.76,0.766,7.133
2016-12-31,0.66,0.19,0.52,1.80086,1.347,3.76,0.766,7.133
2017-01-01,0.66,0.19,0.52,1.80086,1.347,3.76,0.766,7.133
2017-01-02,0.66,0.17,0.38,1.80086,1.306,3.693,0.788,7.132
2017-01-02,0.66,0.17,0.56,1.80086,1.306,3.693,0.788,7.132
2017-01-02,0.66,0.17,0.5,1.80086,1.306,3.693,0.788,7.132
2017-01-03,0.742,0.24,0.5,1.82048,1.379,3.913,0.889,6.954
2017-01-03,0.742,0.24,0.69,1.82048,1.379,3.913,0.889,6.954
2017-01-03,0.742,0.24,0.59,1.82048,1.379,3.913,0.889,6.954
2017-01-04,0.789,0.27,0.73,1.86484,1.409,3.891,0.924,6.714
2017-01-04,0.789,0.27,0.65,1.86484,1.409,3.891,0.924,6.714
2017-01-04,0.789,0.27,0.54,1.86484,1.409,3.891,0.924,6.714
2017-01-05,0.824,0.27,0.67,1.98513,1.458,4.032,0.933,6.811
2017-01-05,0.824,0.27,0.61,1.98513,1.458,4.032,0.933,6.811
2017-01-05,0.824,0.27,0.81,1.98513,1.458,4.032,0.933,6.811
2017-01-06,0.804,0.25,0.67,1.98531,1.447,4.046,0.985,6.843
2017-01-06,0.804,0.25,0.56,1.98531,1.447,4.046,0.985,6.843
2017-01-06,0.804,0.25,0.74,1.98531,1.447,4.046,0.985,6.843
2017-01-07,0.826,0.25,0.56,1.90381,1.447,4.046,0.985,6.843
2017-01-08,0.826,0.25,0.56,1.90381,1.447,4.046,0.985,6.843
2017-01-09,0.826,0.3,0.77,1.90381,1.504,3.996,0.941,6.954
2017-01-09,0.826,0.3,0.68,1.90381,1.504,3.996,0.941,6.954
2017-01-09,0.826,0.3,0.57,1.90381,1.504,3.996,0.941,6.954
2017-01-10,0.818,0.29,0.56,1.90969,1.468,4.055,0.924,6.918
2017-01-10,0.818,0.29,0.75,1.90969,1.468,4.055,0.924,6.918
2017-01-10,0.818,0.29,0.68,1.90969,1.468,4.055,0.924,6.918
2017-01-11,0.819,0.36,0.54,1.92747,1.441,3.973,0.89,6.918
2017-01-11,0.819,0.36,0.74,1.92747,1.441,3.973,0.89,6.918
2017-01-11,0.819,0.36,0.68,1.92747,1.441,3.973,0.89,6.918
2017-01-12,0.774,0.31,0.54,1.92799,1.402,3.897,0.872,6.929
