Residual term;Time;Value
Gross yield rate of the reference loan (benchmark);2009-11-06;3.7
Gross yield rate of the reference loan (benchmark);2009-11-09;3.72
Gross yield rate of the reference loan (benchmark);2009-11-10;3.65
Gross yield rate of the reference loan (benchmark);2009-11-12;3.63
Gross yield rate of the reference loan (benchmark);2009-11-13;3.65
Gross yield rate of the reference loan (benchmark);2009-11-16;3.67
Gross yield rate of the reference loan (benchmark);2009-11-17;3.66
Gross yield rate of the reference loan (benchmark);2009-11-18;3.62
Gross yield rate of the reference loan (benchmark);2009-11-19;3.64
Gross yield rate of the reference loan (benchmark);2009-11-20;3.65
Gross yield rate of the reference loan (benchmark);2009-11-23;3.66
Gross yield rate of the reference loan (benchmark);2009-11-24;3.65
Gross yield rate of the reference loan (benchmark);2009-11-25;3.63
Gross yield rate of the reference loan (benchmark);2009-11-26;3.58
Gross yield rate of the reference loan (benchmark);2009-11-27;3.58
Gross yield rate of the reference loan (benchmark);2010-08-13;3.05
Gross yield rate of the reference loan (benchmark);2010-08-16;3.01
Gross yield rate of the reference loan (benchmark);2010-08-17;3.03
Gross yield rate of the reference loan (benchmark);2010-08-18;3
Gross yield rate of the reference loan (benchmark);2010-08-19;2.99
Gross yield rate of the reference loan (benchmark);2010-08-20;2.95
Gross yield rate of the reference loan (benchmark);2010-08-23;2.97
Gross yield rate of the reference loan (benchmark);2010-08-24;2.92
Gross yield rate of the reference loan (benchmark);2010-08-25;2.87
Gross yield rate of the reference loan (benchmark);2010-08-26;2.86
Gross yield rate of the reference loan (benchmark);2010-08-27;2.83
Gross yield rate of the reference loan (benchmark);2010-08-30;2.87
Gross yield rate of the reference loan (benchmark);2010-08-31;2.82
Gross yield rate of the reference loan (benchmark);2010-09-01;2.88
Gross yield rate of the reference loan (benchmark);2010-09-02;2.91
Gross yield rate of the reference loan (benchmark);2010-09-03;2.92
Gross yield rate of the reference loan (benchmark);2010-09-06;3.01
Gross yield rate of the reference loan (benchmark);2010-09-07;3.02
Gross yield rate of the reference loan (benchmark);2010-09-08;2.99
Gross yield rate of the reference loan (benchmark);2010-09-09;3.04
Gross yield rate of the reference loan (benchmark);2010-09-10;3.06
Gross yield rate of the reference loan (benchmark);2010-09-13;3.19
Gross yield rate of the reference loan (benchmark);2010-09-14;3.14
Gross yield rate of the reference loan (benchmark);2010-09-15;3.22
Gross yield rate of the reference loan (benchmark);2010-09-16;3.24
Gross yield rate of the reference loan (benchmark);2010-09-17;3.29
Gross yield rate of the reference loan (benchmark);2010-09-20;3.33
Gross yield rate of the reference loan (benchmark);2010-09-21;3.33
Gross yield rate of the reference loan (benchmark);2010-09-22;3.19
Gross yield rate of the reference loan (benchmark);2010-09-23;3.13
Gross yield rate of the reference loan (benchmark);2010-09-24;3.23
Gross yield rate of the reference loan (benchmark);2010-09-27;3.17
Gross yield rate of the reference loan (benchmark);2010-09-28;3.11
Gross yield rate of the reference loan (benchmark);2010-09-29;3.14
Gross yield rate of the reference loan (benchmark);2010-09-30;3.09
Gross yield rate of the reference loan (benchmark);2010-10-01;3.12
Gross yield rate of the reference loan (benchmark);2010-10-04;3.07
Gross yield rate of the reference loan (benchmark);2010-10-05;3.12
Gross yield rate of the reference loan (benchmark);2010-10-06;3.14
Gross yield rate of the reference loan (benchmark);2010-10-07;3.15
Gross yield rate of the reference loan (benchmark);2010-10-08;3.16
Gross yield rate of the reference loan (benchmark);2010-10-11;3.14
Gross yield rate of the reference loan (benchmark);2010-10-12;3.07
Gross yield rate of the reference loan (benchmark);2010-10-13;3.16
Gross yield rate of the reference loan (benchmark);2010-10-14;3.15
Gross yield rate of the reference loan (benchmark);2010-10-15;3.13
Gross yield rate of the reference loan (benchmark);2010-10-18;3.2
Gross yield rate of the reference loan (benchmark);2010-10-19;3.21
Gross yield rate of the reference loan (benchmark);2010-10-20;3.26
Gross yield rate of the reference loan (benchmark);2010-10-21;3.33
Gross yield rate of the reference loan (benchmark);2010-10-22;3.35
Gross yield rate of the reference loan (benchmark);2010-10-25;3.28
Gross yield rate of the reference loan (benchmark);2010-10-26;3.29
Gross yield rate of the reference loan (benchmark);2010-10-27;3.33
Gross yield rate of the reference loan (benchmark);2010-10-28;3.37
Gross yield rate of the reference loan (benchmark);2010-10-29;3.35
Gross yield rate of the reference loan (benchmark);2010-11-02;3.29
Gross yield rate of the reference loan (benchmark);2010-11-03;3.21
Gross yield rate of the reference loan (benchmark);2010-11-04;3.32
Gross yield rate of the reference loan (benchmark);2010-11-05;3.3
Gross yield rate of the reference loan (benchmark);2010-11-08;3.28
Gross yield rate of the reference loan (benchmark);2010-11-09;3.32
Gross yield rate of the reference loan (benchmark);2010-11-10;3.36
Gross yield rate of the reference loan (benchmark);2010-11-12;3.45
Gross yield rate of the reference loan (benchmark);2010-11-15;3.44
Gross yield rate of the reference loan (benchmark);2010-11-16;3.44
Gross yield rate of the reference loan (benchmark);2010-11-17;3.47
Gross yield rate of the reference loan (benchmark);2010-11-18;3.53
Gross yield rate of the reference loan (benchmark);2010-11-19;3.58
Gross yield rate of the reference loan (benchmark);2010-11-22;3.58
Gross yield rate of the reference loan (benchmark);2010-11-23;3.54
Gross yield rate of the reference loan (benchmark);2010-11-24;3.54
Gross yield rate of the reference loan (benchmark);2010-11-25;3.62
Gross yield rate of the reference loan (benchmark);2010-11-26;3.64
Gross yield rate of the reference loan (benchmark);2010-11-29;3.71
Gross yield rate of the reference loan (benchmark);2010-11-30;3.97
Gross yield rate of the reference loan (benchmark);2010-12-01;4.06
Gross yield rate of the reference loan (benchmark);2010-12-02;4.02
Gross yield rate of the reference loan (benchmark);2010-12-03;3.89
Gross yield rate of the reference loan (benchmark);2010-12-06;3.92
Gross yield rate of the reference loan (benchmark);2010-12-07;4.01
Gross yield rate of the reference loan (benchmark);2010-12-08;4.04
Gross yield rate of the reference loan (benchmark);2010-12-09;3.95
Gross yield rate of the reference loan (benchmark);2010-12-10;4.02
Gross yield rate of the reference loan (benchmark);2010-12-13;4
Gross yield rate of the reference loan (benchmark);2010-12-14;3.97
Gross yield rate of the reference loan (benchmark);2010-12-15;4.04
Gross yield rate of the reference loan (benchmark);2010-12-16;3.99
Gross yield rate of the reference loan (benchmark);2010-12-17;3.99
Gross yield rate of the reference loan (benchmark);2010-12-20;3.98
Gross yield rate of the reference loan (benchmark);2010-12-21;3.98
Gross yield rate of the reference loan (benchmark);2011-09-05;4.05
Gross yield rate of the reference loan (benchmark);2011-09-06;4.13
Gross yield rate of the reference loan (benchmark);2011-09-07;4.14
Gross yield rate of the reference loan (benchmark);2011-09-08;3.92
Gross yield rate of the reference loan (benchmark);2011-09-09;3.93
Gross yield rate of the reference loan (benchmark);2011-09-12;3.88
Gross yield rate of the reference loan (benchmark);2011-09-13;3.98
Gross yield rate of the reference loan (benchmark);2011-09-14;3.97
Gross yield rate of the reference loan (benchmark);2011-09-15;3.99
Gross yield rate of the reference loan (benchmark);2011-09-16;3.78
Gross yield rate of the reference loan (benchmark);2011-09-19;3.73
Gross yield rate of the reference loan (benchmark);2011-09-20;3.75
Gross yield rate of the reference loan (benchmark);2011-09-21;3.8
Gross yield rate of the reference loan (benchmark);2011-09-22;3.75
Gross yield rate of the reference loan (benchmark);2011-09-23;3.65
Gross yield rate of the reference loan (benchmark);2011-09-26;3.78
Gross yield rate of the reference loan (benchmark);2011-09-27;3.77
Gross yield rate of the reference loan (benchmark);2011-09-28;3.77
Gross yield rate of the reference loan (benchmark);2011-09-29;3.75
Gross yield rate of the reference loan (benchmark);2011-09-30;3.7
Gross yield rate of the reference loan (benchmark);2011-10-03;3.67
Gross yield rate of the reference loan (benchmark);2011-10-04;3.64
Gross yield rate of the reference loan (benchmark);2011-10-05;3.93
Gross yield rate of the reference loan (benchmark);2011-10-06;3.94
Gross yield rate of the reference loan (benchmark);2011-10-07;4.03
Gross yield rate of the reference loan (benchmark);2011-10-10;4.01
Gross yield rate of the reference loan (benchmark);2011-10-11;4.06
Gross yield rate of the reference loan (benchmark);2011-10-12;4.21
Gross yield rate of the reference loan (benchmark);2011-10-13;4.25
Gross yield rate of the reference loan (benchmark);2011-10-14;4.4
Gross yield rate of the reference loan (benchmark);2011-10-17;4.39
Gross yield rate of the reference loan (benchmark);2011-10-18;4.46
Gross yield rate of the reference loan (benchmark);2011-10-19;4.48
Gross yield rate of the reference loan (benchmark);2011-10-20;4.41
Gross yield rate of the reference loan (benchmark);2011-10-21;4.45
Gross yield rate of the reference loan (benchmark);2011-10-24;4.39
Gross yield rate of the reference loan (benchmark);2011-10-25;4.45
Gross yield rate of the reference loan (benchmark);2011-10-26;4.3
Gross yield rate of the reference loan (benchmark);2011-10-27;4.17
Gross yield rate of the reference loan (benchmark);2011-10-28;4.19
Gross yield rate of the reference loan (benchmark);2011-10-31;4.4
Gross yield rate of the reference loan (benchmark);2011-11-02;4.41
Gross yield rate of the reference loan (benchmark);2011-11-03;4.44
Gross yield rate of the reference loan (benchmark);2011-11-04;4.31
Gross yield rate of the reference loan (benchmark);2011-11-07;4.38
Gross yield rate of the reference loan (benchmark);2011-11-08;4.26
Gross yield rate of the reference loan (benchmark);2011-11-09;4.33
Gross yield rate of the reference loan (benchmark);2011-11-10;4.46
Gross yield rate of the reference loan (benchmark);2011-11-14;4.43
Gross yield rate of the reference loan (benchmark);2011-11-15;4.76
Gross yield rate of the reference loan (benchmark);2011-11-16;4.75
Gross yield rate of the reference loan (benchmark);2011-11-17;4.89
Gross yield rate of the reference loan (benchmark);2011-11-18;4.8
Gross yield rate of the reference loan (benchmark);2011-11-21;4.82
Gross yield rate of the reference loan (benchmark);2011-11-22;4.85
Gross yield rate of the reference loan (benchmark);2011-11-23;5.11
Gross yield rate of the reference loan (benchmark);2011-11-24;5.43
Gross yield rate of the reference loan (benchmark);2011-11-25;5.8
Gross yield rate of the reference loan (benchmark);2011-11-28;5.78
Gross yield rate of the reference loan (benchmark);2011-11-29;5.53
Gross yield rate of the reference loan (benchmark);2011-11-30;5.22
Gross yield rate of the reference loan (benchmark);2011-12-01;4.89
Gross yield rate of the reference loan (benchmark);2011-12-02;4.68
Gross yield rate of the reference loan (benchmark);2011-12-05;4.42
Gross yield rate of the reference loan (benchmark);2011-12-06;4.43
Gross yield rate of the reference loan (benchmark);2011-12-07;4.26
Gross yield rate of the reference loan (benchmark);2011-12-08;4.45
Gross yield rate of the reference loan (benchmark);2011-12-09;4.61
Gross yield rate of the reference loan (benchmark);2011-12-12;4.57
Gross yield rate of the reference loan (benchmark);2011-12-13;4.54
Gross yield rate of the reference loan (benchmark);2011-12-14;4.38
Gross yield rate of the reference loan (benchmark);2011-12-15;4.41
Gross yield rate of the reference loan (benchmark);2011-12-16;4.21
Gross yield rate of the reference loan (benchmark);2011-12-19;4.41
Gross yield rate of the reference loan (benchmark);2011-12-20;4.35
Gross yield rate of the reference loan (benchmark);2011-12-21;4.2
Gross yield rate of the reference loan (benchmark);2011-12-22;4.34
Gross yield rate of the reference loan (benchmark);2011-12-23;4.16
Gross yield rate of the reference loan (benchmark);2011-12-27;4.06
Gross yield rate of the reference loan (benchmark);2011-12-28;3.98
Gross yield rate of the reference loan (benchmark);2011-12-29;3.99
Gross yield rate of the reference loan (benchmark);2011-12-30;4.06
Gross yield rate of the reference loan (benchmark);2012-01-02;4.16
Gross yield rate of the reference loan (benchmark);2012-01-03;4.23
Gross yield rate of the reference loan (benchmark);2012-01-04;4.25
Gross yield rate of the reference loan (benchmark);2012-01-05;4.43
Gross yield rate of the reference loan (benchmark);2012-01-06;4.59
Gross yield rate of the reference loan (benchmark);2012-01-09;4.57
Gross yield rate of the reference loan (benchmark);2012-01-10;4.46
Gross yield rate of the reference loan (benchmark);2012-09-28;2.54
Gross yield rate of the reference loan (benchmark);2012-10-01;2.54
Gross yield rate of the reference loan (benchmark);2012-10-02;2.54
Gross yield rate of the reference loan (benchmark);2012-10-03;2.54
Gross yield rate of the reference loan (benchmark);2012-10-04;2.5
Gross yield rate of the reference loan (benchmark);2012-10-05;2.46
Gross yield rate of the reference loan (benchmark);2012-10-08;2.45
Gross yield rate of the reference loan (benchmark);2012-10-09;2.44
Gross yield rate of the reference loan (benchmark);2012-10-10;2.41
Gross yield rate of the reference loan (benchmark);2012-10-11;2.4
Gross yield rate of the reference loan (benchmark);2012-10-12;2.39
Gross yield rate of the reference loan (benchmark);2012-10-15;2.34
Gross yield rate of the reference loan (benchmark);2012-10-16;2.32
Gross yield rate of the reference loan (benchmark);2012-10-17;2.39
Gross yield rate of the reference loan (benchmark);2012-10-18;2.41
Gross yield rate of the reference loan (benchmark);2012-10-19;2.39
Gross yield rate of the reference loan (benchmark);2012-10-22;2.39
Gross yield rate of the reference loan (benchmark);2012-10-23;2.45
Gross yield rate of the reference loan (benchmark);2012-10-24;2.45
Gross yield rate of the reference loan (benchmark);2012-10-25;2.47
Gross yield rate of the reference loan (benchmark);2012-10-26;2.47
Gross yield rate of the reference loan (benchmark);2012-10-29;2.44
Gross yield rate of the reference loan (benchmark);2012-10-30;2.41
Gross yield rate of the reference loan (benchmark);2012-10-31;2.42
Gross yield rate of the reference loan (benchmark);2012-11-02;2.41
Gross yield rate of the reference loan (benchmark);2012-11-05;2.42
Gross yield rate of the reference loan (benchmark);2012-11-06;2.41
Gross yield rate of the reference loan (benchmark);2012-11-07;2.37
Gross yield rate of the reference loan (benchmark);2012-11-08;2.31
Gross yield rate of the reference loan (benchmark);2012-11-09;2.31
Gross yield rate of the reference loan (benchmark);2012-11-12;2.28
Gross yield rate of the reference loan (benchmark);2012-11-13;2.24
Gross yield rate of the reference loan (benchmark);2012-11-14;2.26
Gross yield rate of the reference loan (benchmark);2012-11-15;2.26
Gross yield rate of the reference loan (benchmark);2012-11-16;2.24
Gross yield rate of the reference loan (benchmark);2012-11-19;2.24
Gross yield rate of the reference loan (benchmark);2012-11-20;2.28
Gross yield rate of the reference loan (benchmark);2012-11-21;2.33
Gross yield rate of the reference loan (benchmark);2012-11-22;2.33
Gross yield rate of the reference loan (benchmark);2012-11-23;2.29
Gross yield rate of the reference loan (benchmark);2012-11-26;2.26
Gross yield rate of the reference loan (benchmark);2012-11-27;2.26
Gross yield rate of the reference loan (benchmark);2012-11-28;2.22
Gross yield rate of the reference loan (benchmark);2012-11-29;2.17
Gross yield rate of the reference loan (benchmark);2012-11-30;2.15
Gross yield rate of the reference loan (benchmark);2012-12-03;2.15
Gross yield rate of the reference loan (benchmark);2012-12-04;2.17
Gross yield rate of the reference loan (benchmark);2012-12-05;2.15
Gross yield rate of the reference loan (benchmark);2012-12-06;2.15
Gross yield rate of the reference loan (benchmark);2012-12-07;2.11
Gross yield rate of the reference loan (benchmark);2012-12-10;2.09
Gross yield rate of the reference loan (benchmark);2012-12-11;2.13
Gross yield rate of the reference loan (benchmark);2012-12-12;2.12
Gross yield rate of the reference loan (benchmark);2012-12-13;2.09
Gross yield rate of the reference loan (benchmark);2012-12-14;2.11
Gross yield rate of the reference loan (benchmark);2012-12-17;2.13
Gross yield rate of the reference loan (benchmark);2012-12-18;2.15
Gross yield rate of the reference loan (benchmark);2012-12-19;2.16
Gross yield rate of the reference loan (benchmark);2012-12-20;2.07
Gross yield rate of the reference loan (benchmark);2012-12-21;2.02
Gross yield rate of the reference loan (benchmark);2012-12-24;2.05
Gross yield rate of the reference loan (benchmark);2012-12-27;2.04
Gross yield rate of the reference loan (benchmark);2012-12-28;2.05
Gross yield rate of the reference loan (benchmark);2012-12-31;2.04
Gross yield rate of the reference loan (benchmark);2013-01-02;2.12
Gross yield rate of the reference loan (benchmark);2013-01-03;2.15
Gross yield rate of the reference loan (benchmark);2013-01-04;2.2
Gross yield rate of the reference loan (benchmark);2013-01-07;2.24
Gross yield rate of the reference loan (benchmark);2013-01-08;2.22
Gross yield rate of the reference loan (benchmark);2013-01-09;2.19
Gross yield rate of the reference loan (benchmark);2013-01-10;2.17
Gross yield rate of the reference loan (benchmark);2013-01-11;2.19
Gross yield rate of the reference loan (benchmark);2013-01-14;2.18
Gross yield rate of the reference loan (benchmark);2013-01-15;2.18
Gross yield rate of the reference loan (benchmark);2013-01-16;2.34
Gross yield rate of the reference loan (benchmark);2013-01-17;2.37
Gross yield rate of the reference loan (benchmark);2013-01-18;2.44
Gross yield rate of the reference loan (benchmark);2013-01-21;2.45
Gross yield rate of the reference loan (benchmark);2013-01-22;2.46
Gross yield rate of the reference loan (benchmark);2013-01-23;2.39
Gross yield rate of the reference loan (benchmark);2013-01-24;2.33
Gross yield rate of the reference loan (benchmark);2013-01-25;2.38
Gross yield rate of the reference loan (benchmark);2013-01-28;2.42
Gross yield rate of the reference loan (benchmark);2013-01-29;2.46
Gross yield rate of the reference loan (benchmark);2013-01-30;2.47
Gross yield rate of the reference loan (benchmark);2013-01-31;2.52
Gross yield rate of the reference loan (benchmark);2013-02-01;2.5
Gross yield rate of the reference loan (benchmark);2013-10-21;2.61
Gross yield rate of the reference loan (benchmark);2013-10-22;2.61
Gross yield rate of the reference loan (benchmark);2013-10-23;2.52
Gross yield rate of the reference loan (benchmark);2013-10-24;2.52
Gross yield rate of the reference loan (benchmark);2013-10-25;2.52
Gross yield rate of the reference loan (benchmark);2013-10-28;2.51
Gross yield rate of the reference loan (benchmark);2013-10-29;2.48
Gross yield rate of the reference loan (benchmark);2013-10-30;2.45
Gross yield rate of the reference loan (benchmark);2013-10-31;2.44
Gross yield rate of the reference loan (benchmark);2013-11-04;2.37
Gross yield rate of the reference loan (benchmark);2013-11-05;2.43
Gross yield rate of the reference loan (benchmark);2013-11-06;2.44
Gross yield rate of the reference loan (benchmark);2013-11-07;2.48
Gross yield rate of the reference loan (benchmark);2013-11-08;2.43
Gross yield rate of the reference loan (benchmark);2013-11-12;2.49
Gross yield rate of the reference loan (benchmark);2013-11-13;2.49
Gross yield rate of the reference loan (benchmark);2013-11-14;2.44
Gross yield rate of the reference loan (benchmark);2013-11-15;2.42
Gross yield rate of the reference loan (benchmark);2013-11-18;2.44
Gross yield rate of the reference loan (benchmark);2013-11-19;2.38
Gross yield rate of the reference loan (benchmark);2013-11-20;2.43
Gross yield rate of the reference loan (benchmark);2013-11-21;2.42
Gross yield rate of the reference loan (benchmark);2013-11-22;2.4
Gross yield rate of the reference loan (benchmark);2013-11-25;2.37
Gross yield rate of the reference loan (benchmark);2013-11-26;2.37
Gross yield rate of the reference loan (benchmark);2013-11-27;2.37
Gross yield rate of the reference loan (benchmark);2013-11-28;2.37
Gross yield rate of the reference loan (benchmark);2013-11-29;2.37
Gross yield rate of the reference loan (benchmark);2013-12-02;2.36
Gross yield rate of the reference loan (benchmark);2013-12-03;2.36
Gross yield rate of the reference loan (benchmark);2013-12-04;2.35
Gross yield rate of the reference loan (benchmark);2013-12-05;2.39
Gross yield rate of the reference loan (benchmark);2013-12-06;2.44
Gross yield rate of the reference loan (benchmark);2013-12-09;2.43
Gross yield rate of the reference loan (benchmark);2013-12-10;2.43
Gross yield rate of the reference loan (benchmark);2013-12-11;2.4
Gross yield rate of the reference loan (benchmark);2013-12-12;2.41
Gross yield rate of the reference loan (benchmark);2013-12-13;2.42
Gross yield rate of the reference loan (benchmark);2013-12-16;2.41
Gross yield rate of the reference loan (benchmark);2013-12-17;2.41
Gross yield rate of the reference loan (benchmark);2013-12-18;2.41
Gross yield rate of the reference loan (benchmark);2013-12-19;2.42
Gross yield rate of the reference loan (benchmark);2013-12-20;2.45
Gross yield rate of the reference loan (benchmark);2013-12-23;2.48
Gross yield rate of the reference loan (benchmark);2013-12-24;2.47
Gross yield rate of the reference loan (benchmark);2013-12-27;2.53
Gross yield rate of the reference loan (benchmark);2013-12-30;2.58
Gross yield rate of the reference loan (benchmark);2013-12-31;2.55
Gross yield rate of the reference loan (benchmark);2014-01-02;2.58
Gross yield rate of the reference loan (benchmark);2014-01-03;2.54
Gross yield rate of the reference loan (benchmark);2014-01-06;2.53
Gross yield rate of the reference loan (benchmark);2014-01-07;2.51
Gross yield rate of the reference loan (benchmark);2014-01-08;2.5
Gross yield rate of the reference loan (benchmark);2014-01-09;2.52
Gross yield rate of the reference loan (benchmark);2014-01-10;2.54
Gross yield rate of the reference loan (benchmark);2014-01-13;2.52
Gross yield rate of the reference loan (benchmark);2014-01-14;2.44
Gross yield rate of the reference loan (benchmark);2014-01-15;2.43
Gross yield rate of the reference loan (benchmark);2014-01-16;2.43
Gross yield rate of the reference loan (benchmark);2014-01-17;2.37
Gross yield rate of the reference loan (benchmark);2014-01-20;2.33
Gross yield rate of the reference loan (benchmark);2014-01-21;2.34
Gross yield rate of the reference loan (benchmark);2014-01-22;2.36
Gross yield rate of the reference loan (benchmark);2014-01-23;2.35
Gross yield rate of the reference loan (benchmark);2014-01-24;2.31
Gross yield rate of the reference loan (benchmark);2014-01-27;2.48
Gross yield rate of the reference loan (benchmark);2014-01-28;2.49
Gross yield rate of the reference loan (benchmark);2014-01-29;2.51
Gross yield rate of the reference loan (benchmark);2014-01-30;2.44
Gross yield rate of the reference loan (benchmark);2014-01-31;2.39
Gross yield rate of the reference loan (benchmark);2014-02-03;2.36
Gross yield rate of the reference loan (benchmark);2014-02-04;2.36
Gross yield rate of the reference loan (benchmark);2014-02-05;2.35
Gross yield rate of the reference loan (benchmark);2014-02-06;2.41
Gross yield rate of the reference loan (benchmark);2014-02-07;2.4
Gross yield rate of the reference loan (benchmark);2014-02-10;2.4
Gross yield rate of the reference loan (benchmark);2014-02-11;2.45
Gross yield rate of the reference loan (benchmark);2014-02-12;2.44
Gross yield rate of the reference loan (benchmark);2014-02-13;2.44
Gross yield rate of the reference loan (benchmark);2014-02-14;2.44
Gross yield rate of the reference loan (benchmark);2014-02-17;2.44
Gross yield rate of the reference loan (benchmark);2014-02-18;2.4
Gross yield rate of the reference loan (benchmark);2014-02-19;2.38
Gross yield rate of the reference loan (benchmark);2014-02-20;2.41
Gross yield rate of the reference loan (benchmark);2014-02-21;2.43
Gross yield rate of the reference loan (benchmark);2014-02-24;2.43
Gross yield rate of the reference loan (benchmark);2014-02-25;2.42
Gross yield rate of the reference loan (benchmark);2014-11-12;1.08
Gross yield rate of the reference loan (benchmark);2014-11-13;1.1
Gross yield rate of the reference loan (benchmark);2014-11-14;1.07
Gross yield rate of the reference loan (benchmark);2014-11-17;1.06
Gross yield rate of the reference loan (benchmark);2014-11-18;1.07
Gross yield rate of the reference loan (benchmark);2014-11-19;1.09
Gross yield rate of the reference loan (benchmark);2014-11-20;1.09
Gross yield rate of the reference loan (benchmark);2014-11-21;1.06
Gross yield rate of the reference loan (benchmark);2014-11-24;1.05
Gross yield rate of the reference loan (benchmark);2014-11-25;1.03
Gross yield rate of the reference loan (benchmark);2014-11-26;0.99
Gross yield rate of the reference loan (benchmark);2014-11-27;0.95
Gross yield rate of the reference loan (benchmark);2014-11-28;0.93
Gross yield rate of the reference loan (benchmark);2014-12-01;0.92
Gross yield rate of the reference loan (benchmark);2014-12-02;0.96
Gross yield rate of the reference loan (benchmark);2014-12-03;0.96
Gross yield rate of the reference loan (benchmark);2014-12-04;0.98
Gross yield rate of the reference loan (benchmark);2014-12-05;0.98
Gross yield rate of the reference loan (benchmark);2014-12-08;0.97
Gross yield rate of the reference loan (benchmark);2014-12-09;0.93
Gross yield rate of the reference loan (benchmark);2014-12-10;0.92
Gross yield rate of the reference loan (benchmark);2014-12-11;0.91
Gross yield rate of the reference loan (benchmark);2014-12-12;0.89
Gross yield rate of the reference loan (benchmark);2014-12-15;0.9
Gross yield rate of the reference loan (benchmark);2014-12-16;0.88
Gross yield rate of the reference loan (benchmark);2014-12-17;0.87
Gross yield rate of the reference loan (benchmark);2014-12-18;0.85
Gross yield rate of the reference loan (benchmark);2014-12-19;0.91
Gross yield rate of the reference loan (benchmark);2014-12-22;0.88
Gross yield rate of the reference loan (benchmark);2014-12-23;0.88
Gross yield rate of the reference loan (benchmark);2014-12-24;0.87
Gross yield rate of the reference loan (benchmark);2014-12-29;0.88
Gross yield rate of the reference loan (benchmark);2014-12-30;0.85
Gross yield rate of the reference loan (benchmark);2014-12-31;0.82
Gross yield rate of the reference loan (benchmark);2015-01-02;0.81
Gross yield rate of the reference loan (benchmark);2015-01-05;0.78
Gross yield rate of the reference loan (benchmark);2015-01-06;0.77
Gross yield rate of the reference loan (benchmark);2015-01-07;0.71
Gross yield rate of the reference loan (benchmark);2015-01-08;0.77
Gross yield rate of the reference loan (benchmark);2015-01-09;0.75
Gross yield rate of the reference loan (benchmark);2015-01-12;0.74
Gross yield rate of the reference loan (benchmark);2015-01-13;0.81
Gross yield rate of the reference loan (benchmark);2015-01-14;0.8
Gross yield rate of the reference loan (benchmark);2015-01-15;0.76
Gross yield rate of the reference loan (benchmark);2015-01-16;0.72
Gross yield rate of the reference loan (benchmark);2015-01-19;0.73
Gross yield rate of the reference loan (benchmark);2015-01-20;0.73
Gross yield rate of the reference loan (benchmark);2015-01-21;0.77
Gross yield rate of the reference loan (benchmark);2015-01-22;0.81
Gross yield rate of the reference loan (benchmark);2015-01-23;0.63
Gross yield rate of the reference loan (benchmark);2015-01-26;0.63
Gross yield rate of the reference loan (benchmark);2015-01-27;0.67
Gross yield rate of the reference loan (benchmark);2015-01-28;0.68
Gross yield rate of the reference loan (benchmark);2015-01-29;0.68
Gross yield rate of the reference loan (benchmark);2015-01-30;0.65
Gross yield rate of the reference loan (benchmark);2015-02-02;0.6
Gross yield rate of the reference loan (benchmark);2015-02-03;0.59
Gross yield rate of the reference loan (benchmark);2015-02-04;0.63
Gross yield rate of the reference loan (benchmark);2015-02-05;0.62
Gross yield rate of the reference loan (benchmark);2015-02-06;0.63
Gross yield rate of the reference loan (benchmark);2015-02-09;0.66
Gross yield rate of the reference loan (benchmark);2015-02-10;0.67
Gross yield rate of the reference loan (benchmark);2015-02-11;0.69
Gross yield rate of the reference loan (benchmark);2015-02-12;0.68
Gross yield rate of the reference loan (benchmark);2015-02-13;0.66
Gross yield rate of the reference loan (benchmark);2015-02-16;0.64
Gross yield rate of the reference loan (benchmark);2015-02-17;0.64
Gross yield rate of the reference loan (benchmark);2015-02-18;0.66
Gross yield rate of the reference loan (benchmark);2015-02-19;0.66
Gross yield rate of the reference loan (benchmark);2015-02-20;0.67
Gross yield rate of the reference loan (benchmark);2015-02-23;0.65
Gross yield rate of the reference loan (benchmark);2015-02-24;0.63
Gross yield rate of the reference loan (benchmark);2015-02-25;0.59
Gross yield rate of the reference loan (benchmark);2015-02-26;0.53
Gross yield rate of the reference loan (benchmark);2015-02-27;0.56
Gross yield rate of the reference loan (benchmark);2015-03-02;0.54
Gross yield rate of the reference loan (benchmark);2015-03-03;0.58
Gross yield rate of the reference loan (benchmark);2015-03-04;0.61
Gross yield rate of the reference loan (benchmark);2015-03-05;0.62
Gross yield rate of the reference loan (benchmark);2015-03-06;0.58
Gross yield rate of the reference loan (benchmark);2015-03-09;0.56
Gross yield rate of the reference loan (benchmark);2015-03-10;0.51
Gross yield rate of the reference loan (benchmark);2015-03-11;0.46
Gross yield rate of the reference loan (benchmark);2015-03-12;0.4
Gross yield rate of the reference loan (benchmark);2015-03-13;0.47
Gross yield rate of the reference loan (benchmark);2015-03-16;0.48
Gross yield rate of the reference loan (benchmark);2015-03-17;0.48
Gross yield rate of the reference loan (benchmark);2015-03-18;0.5
Gross yield rate of the reference loan (benchmark);2015-03-19;0.42
Gross yield rate of the reference loan (benchmark);2015-03-20;0.41
Gross yield rate of the reference loan (benchmark);2015-12-07;0.93
Gross yield rate of the reference loan (benchmark);2015-12-08;0.89
Gross yield rate of the reference loan (benchmark);2015-12-09;0.86
Gross yield rate of the reference loan (benchmark);2015-12-10;0.88
Gross yield rate of the reference loan (benchmark);2015-12-11;0.85
Gross yield rate of the reference loan (benchmark);2015-12-14;0.87
Gross yield rate of the reference loan (benchmark);2015-12-15;0.95
